date,volume
1998-01-02,10139741
1998-01-05,19720368
1998-01-06,14116033
1998-01-07,16859831
1998-01-08,15860442
1998-01-09,28586578
1998-01-12,24067349
1998-01-13,13279676
1998-01-14,16616568
1998-01-15,24826372
1998-01-16,15566013
1998-01-20,19522805
1998-01-21,49403064
1998-01-22,26281101
1998-01-23,15578980
1998-01-26,10772299
1998-01-27,27760932
1998-01-28,20453822
1998-01-29,17425650
1998-01-30,11084073
1998-02-02,13607037
1998-02-03,14000020
1998-02-04,16801221
1998-02-05,14838423
1998-02-06,15959998
1998-02-09,13605864
1998-02-10,32182087
1998-02-11,15819189
1998-02-12,13524081
1998-02-13,8694402
1998-02-17,14912102
1998-02-18,12788824
1998-02-19,16986901
1998-02-20,14420528
1998-02-23,10416451
1998-02-24,10085825
1998-02-25,15057316
1998-02-26,12591582
1998-02-27,11492789
1998-03-02,13878020
1998-03-03,15575502
1998-03-04,11839781
1998-03-05,21071048
1998-03-06,19964153
1998-03-09,25452454
1998-03-10,16410254
1998-03-11,13189025
1998-03-12,11605234
1998-03-13,11201366
1998-03-16,13179328
1998-03-17,14144001
1998-03-18,14189914
1998-03-19,10019721
1998-03-20,15143665
1998-03-23,12107063
1998-03-24,9409444
1998-03-25,26508685
1998-03-26,11064641
1998-03-27,11128276
1998-03-30,7472903
1998-03-31,8985772
1998-04-01,10393440
1998-04-02,14139536
1998-04-03,12110289
1998-04-06,14389061
1998-04-07,10237841
1998-04-08,10597817
1998-04-09,11932483
1998-04-13,16146217
1998-04-14,9169979
1998-04-15,17817974
1998-04-16,13300313
1998-04-17,11541442
1998-04-20,19108859
1998-04-21,43138227
1998-04-22,25580677
1998-04-23,18260168
1998-04-24,15616550
1998-04-27,14604808
1998-04-28,20112825
1998-04-29,13303874
1998-04-30,13698099
1998-05-01,9761325
1998-05-04,10456331
1998-05-05,10482936
1998-05-06,12381403
1998-05-07,9644162
1998-05-08,14849509
1998-05-11,18822372
1998-05-12,14853888
1998-05-13,15564434
1998-05-14,39815082
1998-05-15,21580915
1998-05-18,14021009
1998-05-19,12740325
1998-05-20,11675616
1998-05-21,11563782
1998-05-22,7850438
1998-05-26,13255002
1998-05-27,19650430
1998-05-28,11521988
